FunctionName, Calculator,N,Init time (s), Calc.time(s), Calc.Freq(hz), Bytes, MaxError, FirstBlank, Err1, Err2, Err3, Blank
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,360,0.715,1.02373e+08,9.7682,8, 1.56689e-11,,2.5161e-12,4.00322e-12,1.56689e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,364,0.467,1.19304e+08,8.38193,8, 1.48722e-11,,2.77125e-12,4.3564e-12,1.48722e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,368,0.633,1.26431e+08,7.90945,8, 1.16609e-11,,2.77721e-12,4.67863e-12,1.16609e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,372,0.746,1.48199e+08,6.74768,8, 1.47326e-11,,2.71267e-12,4.95598e-12,1.47326e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,376,0.701,1.65851e+08,6.02951,8, 1.37949e-11,,2.43798e-12,5.20713e-12,1.37949e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,380,0.776,1.45954e+08,6.85145,8, 1.12557e-11,,2.13748e-12,5.41597e-12,1.12557e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,384,0.538,1.03701e+08,9.64312,8, 1.06943e-11,,1.99468e-12,4.82518e-12,1.06943e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,388,1.116,2.7705e+08,3.60946,8, 1.23696e-11,,1.83482e-12,5.51617e-12,1.23696e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,392,0.433,1.24069e+08,8.06003,8, 1.49074e-11,,2.36759e-12,6.21338e-12,1.49074e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,396,0.696,1.33677e+08,7.48074,8, 1.30366e-11,,2.64026e-12,6.92104e-12,1.30366e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,400,0.553,1.2553e+08,7.96624,8, 9.77153e-12,,2.66648e-12,7.61331e-12,9.77153e-12,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,404,1.168,2.91472e+08,3.43087,8, 1.0035e-11,,2.62417e-12,8.30229e-12,1.0035e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,408,0.997,1.6515e+08,6.0551,8, 1.27188e-11,,2.37248e-12,8.97843e-12,1.27188e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,412,1.24,3.12203e+08,3.20304,8, 1.45302e-11,,2.09501e-12,9.63993e-12,1.45302e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,416,0.653,1.41422e+08,7.07105,8, 1.16166e-11,,1.81524e-12,1.02825e-11,1.16166e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,420,1.076,1.41681e+08,7.05811,8, 1.09021e-11,,1.67235e-12,1.09021e-11,1.07972e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,424,0.942,2.37667e+08,4.20756,8, 1.35757e-11,,2.21699e-12,3.97766e-12,1.35757e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,428,1.395,3.42569e+08,2.91912,8, 1.26089e-11,,2.50498e-12,4.20463e-12,1.26089e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,432,0.608,1.51019e+08,6.62169,8, 1.62872e-11,,2.54905e-12,4.18146e-12,1.62872e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,436,1.506,3.6373e+08,2.74929,8, 8.62587e-12,,2.52636e-12,4.40751e-12,8.62587e-12,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,440,0.796,1.50005e+08,6.66645,8, 1.12845e-11,,2.2953e-12,4.64877e-12,1.12845e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,444,1.005,2.21506e+08,4.51455,8, 1.36947e-11,,2.03878e-12,4.88747e-12,1.36947e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,448,0.622,1.53421e+08,6.518,8, 1.19617e-11,,1.77947e-12,5.13441e-12,1.19617e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,452,1.577,4.11615e+08,2.42946,8, 9.14482e-12,,1.67142e-12,5.38501e-12,9.14482e-12,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,456,1.161,2.0506e+08,4.87663,8, 9.05283e-12,,2.22598e-12,5.18698e-12,9.05283e-12,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,460,0.971,2.18399e+08,4.57877,8, 1.15237e-11,,2.36623e-12,5.37915e-12,1.15237e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,464,0.955,2.17182e+08,4.60444,8, 1.33651e-11,,2.42634e-12,5.66254e-12,1.33651e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,468,0.838,1.62866e+08,6.14,8, 1.07265e-11,,2.42121e-12,6.29967e-12,1.07265e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,472,1.192,3.01684e+08,3.31473,8, 6.95218e-12,,2.20881e-12,6.95218e-12,6.92994e-12,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,476,0.913,2.15272e+08,4.6453,8, 1.24387e-11,,1.97126e-12,7.60397e-12,1.24387e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,480,0.887,1.7501e+08,5.71397,8, 1.14092e-11,,1.73053e-12,8.24788e-12,1.14092e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,484,0.909,1.93177e+08,5.17661,8, 1.25146e-11,,1.66995e-12,8.88482e-12,1.25146e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,488,1.267,3.23598e+08,3.09025,8, 9.97145e-12,,2.07225e-12,9.50601e-12,9.97145e-12,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,492,1.212,2.94829e+08,3.3918,8, 1.0237e-11,,2.38587e-12,1.01171e-11,1.0237e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,496,1.094,2.61631e+08,3.82218,8, 1.24866e-11,,2.46037e-12,4.75594e-12,1.24866e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,500,0.808,2.00119e+08,4.99703,8, 1.40538e-11,,2.31008e-12,4.995e-12,1.40538e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,504,0.895,2.13637e+08,4.68083,8, 1.10967e-11,,2.11466e-12,5.23241e-12,1.10967e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,508,1.5,5.38324e+08,1.85762,8, 9.50617e-12,,1.89411e-12,5.47056e-12,9.50617e-12,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,512,0.82,1.96135e+08,5.09852,8, 1.03509e-11,,1.67024e-12,5.69771e-12,1.03509e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,516,1.346,3.06263e+08,3.26517,8, 1.21828e-11,,1.50663e-12,3.89972e-12,1.21828e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,8,0.026,57637,17350,8, 0.692435,,0.670663,0.692435,0.677015,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,12,0.037,210001,4761.88,8, 0.239812,,0.239812,0.197559,0.204463,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,16,0.082,771310,1296.5,8, 0.0614392,,0.0597624,0.0614392,0.0583091,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,20,0.068,2.07478e+06,481.978,8, 0.011308,,0.0109348,0.0101213,0.011308,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,24,0.085,4.06902e+06,245.76,8, 0.0019714,,0.00177997,0.00171022,0.0019714,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,28,0.119,1.03217e+07,96.883,8, 0.00039512,,0.000199943,0.00039512,0.000261599,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,32,0.135,2.14222e+07,46.6805,8, 3.1775e-05,,1.50327e-05,2.78867e-05,3.1775e-05,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,36,0.205,2.74e+07,36.4964,8, 2.90858e-06,,5.99514e-07,2.90858e-06,2.6313e-06,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,40,0.321,5.02366e+07,19.9058,8, 3.63794e-07,,3.86566e-08,3.63794e-07,2.20994e-07,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,44,0.372,5.33155e+07,18.7563,8, 1.39764e-08,,5.11908e-09,1.25458e-08,1.39764e-08,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,48,0.49,8.58407e+07,11.6495,8, 1.11919e-09,,4.87089e-10,1.11919e-09,8.03418e-10,
